StudentRef,study_hours_per_week,attendance_percent,previous_exam_score,age,parental_education,school_type,internet_access,extracurricular,grade
STU-20771,9.2,94.8,78.9,18,Masters,Public,No,Yes,B
STU-20772,12.9,69.2,47.5,15,High School,Private,Yes,Yes,C
STU-20773,24.1,87.1,51.1,17,Bachelors,Public,Yes,No,A
STU-20774,8.8,72.1,72.3,15,PhD,Private,Yes,No,A
STU-20775,9.3,100.0,73.7,17,High School,Private,Yes,No,C
STU-20776,22.4,96.6,61.4,18,Bachelors,Public,No,No,A
STU-20777,10.4,75.2,74.6,16,High School,Public,No,No,C
STU-20778,19.8,51.3,89.5,18,Bachelors,Private,Yes,No,B
STU-20779,20.6,86.6,62.1,18,Bachelors,Public,Yes,No,B
STU-20780,5.4,68.3,90.8,17,High School,Public,No,No,C
STU-20781,6.0,98.1,91.0,18,Bachelors,Private,Yes,No,B
STU-20782,19.3,100.0,24.1,17,PhD,Public,Yes,No,C
STU-20783,17.6,81.6,60.0,18,Masters,Public,Yes,Yes,B
STU-20784,9.0,94.1,81.2,17,High School,Public,Yes,Yes,A
STU-20785,5.8,63.0,68.1,18,High School,Public,No,Yes,D
STU-20786,5.1,89.5,70.2,17,High School,Public,Yes,No,D
STU-20787,19.3,100.0,83.4,15,Bachelors,Private,No,No,A
STU-20788,17.8,62.0,81.9,17,High School,Public,Yes,Yes,B
STU-20789,8.1,91.6,58.7,16,Bachelors,Private,Yes,No,C
STU-20790,4.2,84.7,30.8,15,High School,Public,Yes,Yes,F
STU-20791,17.6,93.4,78.0,18,Bachelors,Public,Yes,Yes,A
STU-20792,11.7,82.0,85.2,17,PhD,Public,No,Yes,C
STU-20793,14.8,,76.9,17,Bachelors,Public,Yes,No,B
STU-20794,8.6,97.9,75.2,15,Masters,Public,Yes,No,A
STU-20795,7.3,81.5,80.9,15,High School,Private,Yes,Yes,C
STU-20796,8.4,87.7,77.0,17,High School,Public,Yes,No,C
STU-20797,13.1,61.8,59.4,15,High School,Public,Yes,No,D
STU-20798,16.1,86.5,73.3,18,Masters,Public,Yes,Yes,B
STU-20799,0.6,90.6,78.5,16,High School,Public,Yes,No,D
STU-20800,1.1,78.9,60.1,18,Bachelors,Public,Yes,No,D
STU-20801,11.5,80.2,71.1,18,Bachelors,Public,Yes,Yes,B
STU-20802,19.9,52.9,86.5,16,High School,Public,No,No,B
STU-20803,11.8,66.2,99.6,16,Masters,Public,Yes,No,B
STU-20804,24.0,77.1,80.6,15,PhD,Public,Yes,Yes,A
STU-20805,4.9,76.4,100.0,15,Bachelors,Public,Yes,No,D
STU-20806,12.0,100.0,68.8,16,High School,Public,Yes,Yes,B
STU-20807,24.0,91.7,67.1,16,Bachelors,Public,Yes,No,B
STU-20808,21.6,64.1,90.1,17,Bachelors,Public,Yes,Yes,B
STU-20809,2.6,100.0,66.9,17,Masters,Public,No,No,B
STU-20810,11.5,61.2,63.5,18,PhD,Public,Yes,Yes,B
STU-20811,6.6,64.6,52.5,16,High School,Private,Yes,No,D
STU-20812,8.0,68.4,69.2,18,High School,Public,Yes,No,B
STU-20813,23.6,80.0,65.2,17,High School,Public,Yes,Yes,A
STU-20814,14.0,100.0,49.8,18,Bachelors,Public,Yes,No,A
STU-20815,11.5,77.1,49.7,18,High School,Public,Yes,Yes,F
STU-20816,7.8,88.5,75.1,15,High School,Public,Yes,Yes,C
STU-20817,21.2,60.2,81.9,18,High School,Public,Yes,No,A
STU-20818,12.9,74.5,62.1,16,Bachelors,Public,Yes,Yes,C
STU-20819,23.4,100.0,58.6,16,High School,Public,Yes,Yes,A
STU-20820,20.1,99.3,66.0,18,High School,Public,No,Yes,C
STU-20821,23.1,93.8,5.7,15,High School,Public,Yes,Yes,B
STU-20822,1.9,100.0,60.5,16,High School,Private,Yes,Yes,D
STU-20823,11.0,89.0,87.0,17,High School,Public,Yes,Yes,C
STU-20824,20.4,88.5,84.3,16,Bachelors,Public,No,Yes,B
STU-20825,11.1,65.7,61.0,18,Bachelors,Public,Yes,No,D
STU-20826,23.0,59.7,66.6,16,Bachelors,Private,Yes,Yes,A
STU-20827,11.1,71.5,43.8,17,Masters,Public,Yes,Yes,C
STU-20828,19.1,76.3,50.9,17,Bachelors,Private,Yes,Yes,B
STU-20829,1.5,69.5,70.4,18,High School,Public,Yes,Yes,D
STU-20830,18.5,91.1,53.0,18,High School,Public,Yes,Yes,D
STU-20831,10.9,100.0,94.3,18,High School,Public,No,Yes,C
STU-20832,23.6,80.8,85.7,18,PhD,Public,Yes,Yes,A
STU-20833,18.4,58.8,76.8,15,Masters,Public,Yes,No,A
STU-20834,19.3,63.4,74.2,18,High School,Private,Yes,No,B
STU-20835,16.9,95.9,60.6,18,Bachelors,Public,Yes,Yes,C
STU-20836,24.9,92.3,70.6,16,High School,Private,Yes,No,A
STU-20837,2.0,84.3,41.0,18,PhD,Public,No,No,D
STU-20838,18.1,90.2,79.8,18,Bachelors,Public,Yes,No,B
STU-20839,22.0,97.2,80.5,15,Bachelors,Public,Yes,Yes,A
STU-20840,2.5,81.7,82.1,15,Masters,Public,Yes,No,D
STU-20841,13.2,85.4,67.5,16,High School,Public,Yes,Yes,B
STU-20842,8.1,,94.0,18,Masters,Public,Yes,No,C
STU-20843,15.5,52.8,71.2,17,Bachelors,Public,Yes,No,C
STU-20844,5.2,82.5,72.9,17,Bachelors,Public,Yes,Yes,D
STU-20845,10.2,80.4,62.1,17,High School,Public,No,No,B
STU-20846,14.9,86.6,62.9,17,PhD,Public,Yes,No,B
STU-20847,3.4,73.0,46.1,17,Masters,Public,Yes,Yes,F
STU-20848,18.6,86.7,61.8,15,Bachelors,Public,Yes,No,A
STU-20849,3.5,86.3,65.0,15,PhD,Public,Yes,Yes,C
STU-20850,0.3,74.8,66.8,17,Bachelors,Public,No,No,D
STU-20851,14.0,66.4,53.7,17,Masters,Private,Yes,No,C
STU-20852,12.5,,48.4,15,Bachelors,Public,No,Yes,F
STU-20853,12.7,85.6,56.5,17,Masters,Public,Yes,Yes,B
STU-20854,6.9,93.2,64.2,17,PhD,Public,Yes,Yes,C
STU-20855,17.4,100.0,84.9,16,High School,Public,Yes,Yes,A
STU-20856,22.4,79.4,54.9,15,Bachelors,Public,Yes,Yes,B
STU-20857,20.1,87.9,75.0,16,Masters,Public,Yes,No,B
STU-20858,18.3,98.0,64.6,15,Bachelors,Private,Yes,No,A
STU-20859,0.0,66.4,64.4,16,Bachelors,Private,Yes,Yes,D
STU-20860,21.3,89.8,55.2,15,Bachelors,Private,Yes,No,A
STU-20861,2.5,74.1,100.0,17,Masters,Public,Yes,Yes,C
STU-20862,22.2,75.3,72.6,17,Bachelors,Public,Yes,No,A
STU-20863,10.0,91.7,68.2,18,High School,Public,No,Yes,F
STU-20864,15.9,77.3,80.2,15,High School,Public,Yes,Yes,C
STU-20865,3.4,85.6,54.0,17,Masters,Public,Yes,No,C
STU-20866,1.1,64.8,56.3,16,Bachelors,Public,Yes,No,D
STU-20867,14.6,79.8,73.0,16,Masters,Private,No,No,A
STU-20868,11.2,68.1,52.0,17,High School,Private,Yes,No,D
STU-20869,8.1,76.3,68.6,16,High School,Private,Yes,No,B
STU-20870,15.4,100.0,91.1,16,Masters,Public,Yes,Yes,A
STU-20871,18.0,,52.0,17,High School,Public,Yes,No,C
STU-20872,6.4,77.6,69.8,18,High School,Public,Yes,No,F
STU-20873,20.6,,81.2,16,High School,Public,Yes,No,B
STU-20874,11.9,69.6,47.9,16,High School,Public,Yes,Yes,D
STU-20875,24.6,100.0,74.1,18,Masters,Private,Yes,No,A
STU-20876,16.2,70.7,70.2,16,Masters,Private,Yes,No,B
STU-20877,22.3,100.0,46.9,15,Masters,Public,Yes,No,A
STU-20878,4.8,77.6,69.2,18,Bachelors,Public,Yes,No,D
STU-20879,11.4,98.8,80.2,16,Bachelors,Private,Yes,No,B
STU-20880,0.5,82.5,84.5,15,High School,Public,Yes,Yes,C
STU-20881,13.1,71.5,66.5,17,Bachelors,Public,Yes,Yes,B
STU-20882,20.4,78.1,90.4,18,Bachelors,Public,Yes,Yes,B
STU-20883,21.2,100.0,73.0,15,Bachelors,Public,Yes,Yes,A
STU-20884,20.3,78.3,70.3,17,High School,Private,Yes,Yes,C
STU-20885,14.8,52.6,57.4,16,Masters,Public,Yes,No,F
STU-20886,23.2,100.0,63.2,17,High School,Public,Yes,No,B
STU-20887,16.7,70.5,77.4,15,Bachelors,Private,Yes,Yes,A
STU-20888,13.2,76.0,70.3,15,High School,Public,Yes,Yes,C
STU-20889,4.7,100.0,88.3,15,High School,Private,Yes,Yes,A
STU-20890,17.3,56.2,73.9,16,Masters,Private,Yes,Yes,B
STU-20891,23.6,73.4,69.9,17,Bachelors,Public,No,No,A
STU-20892,2.5,90.1,100.0,16,Bachelors,Public,Yes,Yes,F
STU-20893,9.2,90.0,63.2,18,Bachelors,Public,Yes,No,B
STU-20894,21.1,89.2,76.4,17,High School,Private,Yes,No,A
STU-20895,15.1,66.7,91.5,17,High School,Public,Yes,Yes,A
STU-20896,14.4,94.5,74.0,17,High School,Public,Yes,No,B
STU-20897,12.3,74.2,82.4,15,Masters,Private,Yes,No,C
STU-20898,0.3,83.5,81.6,18,Bachelors,Public,No,No,C
STU-20899,15.6,67.2,45.1,17,Bachelors,Public,Yes,Yes,B
STU-20448,8.6,99.8,65.8,18,High School,Private,Yes,Yes,B
STU-20735,16.3,71.9,76.9,15,High School,Public,Yes,Yes,A
STU-20323,23.4,86.2,60.3,18,High School,Public,No,No,C
STU-20175,9.3,86.4,100.0,18,High School,Public,Yes,No,A
STU-20083,20.7,96.5,66.4,17,Masters,Public,Yes,Yes,A
STU-20475,12.3,100.0,64.5,18,Masters,Public,Yes,No,B
